gene_id,importance_score,z_score,is_perturbed
FGFR1,0.0,-0.17964239331779489,False
FGFR2,0.0,-0.17964239331779489,False
FGG,0.0,-0.17964239331779489,False
FHL1,0.0,-0.17964239331779489,False
FHL2,0.0,-0.17964239331779489,False
FKBP10,0.0,-0.17964239331779489,False
FKBP1A,0.0,-0.17964239331779489,False
FKBP4,0.0,-0.17964239331779489,False
FKBP5,0.0,-0.17964239331779489,False
FKBP8,0.0,-0.17964239331779489,False
FLII,0.0,-0.17964239331779489,False
FLNA,0.0,-0.17964239331779489,False
FLNB,0.0,-0.17964239331779489,False
FLNC,0.0,-0.17964239331779489,False
FLOT1,0.0,-0.17964239331779489,False
FMOD,0.0,-0.17964239331779489,False
FN1,0.0,-0.17964239331779489,False
FNBP1L,0.0,-0.17964239331779489,False
FOS,0.0,-0.17964239331779489,False
FOSB,0.0,-0.17964239331779489,False
FOSL2,0.0,-0.17964239331779489,False
FOXA1,0.0,-0.17964239331779489,False
FOXO3,0.009999999999999998,2.7521214656286177,True
FRS2,0.009999999999999998,2.7521214656286177,True
FSCN1,0.0,-0.17964239331779489,False
FSTL1,0.0,-0.17964239331779489,False
FTL,0.0,-0.17964239331779489,False
FTO,0.0,-0.17964239331779489,False
FURIN,0.0,-0.17964239331779489,False
FUS,0.0,-0.17964239331779489,False
FXR1,0.0,-0.17964239331779489,False
FYCO1,0.0,-0.17964239331779489,False
FZD4,0.0,-0.17964239331779489,False
G3BP1,0.0,-0.17964239331779489,False
G3BP2,0.0,-0.17964239331779489,False
G6PD,0.0,-0.17964239331779489,False
GANAB,0.0,-0.17964239331779489,False
GAPDH,0.0,-0.17964239331779489,False
GATA3,0.0,-0.17964239331779489,False
GBP1,0.0,-0.17964239331779489,False
GBP2,0.0,-0.17964239331779489,False
GBP4,0.0,-0.17964239331779489,False
GCN1,0.0,-0.17964239331779489,False
GDAP1,0.0,-0.17964239331779489,False
GDF9,0.0,-0.17964239331779489,False
GDI1,0.0,-0.17964239331779489,False
GDI2,0.0,-0.17964239331779489,False
GFPT1,0.0,-0.17964239331779489,False
GFRA1,0.0,-0.17964239331779489,False
GJA1,0.0,-0.17964239331779489,False
GLG1,0.0,-0.17964239331779489,False
GLI3,0.0,-0.17964239331779489,False
GLO1,0.0,-0.17964239331779489,False
GLUD1,0.0,-0.17964239331779489,False
GLUL,0.0,-0.17964239331779489,False
GNAI2,0.0,-0.17964239331779489,False
GNAS,0.0,-0.17964239331779489,False
GNB1,0.0,-0.17964239331779489,False
GNB2,0.0,-0.17964239331779489,False
GNG12,0.0,-0.17964239331779489,False
GNS,0.0,-0.17964239331779489,False
GOLGA4,0.0,-0.17964239331779489,False
GOLGB1,0.0,-0.17964239331779489,False
GOLM1,0.0,-0.17964239331779489,False
GOT2,0.0,-0.17964239331779489,False
GP2,0.0,-0.17964239331779489,False
GPAA1,0.0,-0.17964239331779489,False
GPAM,0.0,-0.17964239331779489,False
GPAT4,0.0,-0.17964239331779489,False
GPC3,0.0,-0.17964239331779489,False
GPC4,0.0,-0.17964239331779489,False
GPD1,0.0,-0.17964239331779489,False
GPD1L,0.0,-0.17964239331779489,False
GPD2,0.0,-0.17964239331779489,False
GPI,0.0,-0.17964239331779489,False
GPNMB,0.0,-0.17964239331779489,False
GPX3,0.0,-0.17964239331779489,False
GPX4,0.0,-0.17964239331779489,False
GRB2,0.0,-0.17964239331779489,False
GRB7,0.0,-0.17964239331779489,False
GREB1,0.0,-0.17964239331779489,False
GRIA2,0.009999999999999998,2.7521214656286177,True
GRINA,0.0,-0.17964239331779489,False
GRK2,0.0,-0.17964239331779489,False
GRN,0.0,-0.17964239331779489,False
GSE1,0.019999999999999997,5.68388532457503,True
GSN,0.0,-0.17964239331779489,False
GSPT1,0.0,-0.17964239331779489,False
GSTM3,0.0,-0.17964239331779489,False
GSTP1,0.0,-0.17964239331779489,False
GUK1,0.0,-0.17964239331779489,False
GYG2,0.0,-0.17964239331779489,False
HACD3,0.0,-0.17964239331779489,False
HADHA,0.0,-0.17964239331779489,False
HADHB,0.0,-0.17964239331779489,False
HDAC2,0.0,-0.17964239331779489,False
HDC,0.0,-0.17964239331779489,False
HDGF,0.0,-0.17964239331779489,False
HDLBP,0.0,-0.17964239331779489,False
HGSNAT,0.0,-0.17964239331779489,False
HIF1A,0.009999999999999998,2.7521214656286177,True
HIPK2,0.0,-0.17964239331779489,False
HIPK3,0.0,-0.17964239331779489,False
HK1,0.0,-0.17964239331779489,False
HK2,0.0,-0.17964239331779489,False
HLA-A,0.0,-0.17964239331779489,False
HLA-B,0.0,-0.17964239331779489,False
HLA-C,0.0,-0.17964239331779489,False
HLA-DPA1,0.0,-0.17964239331779489,False
HLA-DPB1,0.0,-0.17964239331779489,False
HLA-DQA1,0.0,-0.17964239331779489,False
HLA-DQB1,0.0,-0.17964239331779489,False
HLA-DRA,0.0,-0.17964239331779489,False
HLA-DRB1,0.0,-0.17964239331779489,False
HLA-DRB5,0.0,-0.17964239331779489,False
HLA-E,0.0,-0.17964239331779489,False
HM13,0.0,-0.17964239331779489,False
HMGA1,0.0,-0.17964239331779489,False
