Rank,Gene,Importance Score,Valid Target
638,GPAM,0.0,False
639,GPAT4,0.0,False
640,GPC3,0.0,False
641,GPC4,0.0,False
642,GPD1,0.0,False
643,GPD1L,0.0,False
644,GPD2,0.0,False
645,GPI,0.0,False
646,GPNMB,0.0,False
647,GPX3,0.0,False
648,GPX4,0.0,False
649,GRB2,0.0,False
650,GRB7,0.0,False
651,GREB1,0.0,False
652,GRINA,0.0,False
653,GRK2,0.0,False
654,GRN,0.0,False
655,GSN,0.0,False
656,GSPT1,0.0,False
657,GSTM3,0.0,False
658,GSTP1,0.0,False
659,GUK1,0.0,False
660,GYG2,0.0,False
661,HACD3,0.0,False
662,HADHA,0.0,False
663,HADHB,0.0,False
664,HDAC2,0.0,False
665,HDC,0.0,False
666,HDGF,0.0,False
667,HDLBP,0.0,False
668,HGSNAT,0.0,False
669,HIPK2,0.0,False
670,HIPK3,0.0,False
671,HK1,0.0,False
672,HK2,0.0,False
673,HLA-A,0.0,False
674,HLA-B,0.0,False
675,HLA-C,0.0,False
676,HLA-DPA1,0.0,False
677,HLA-DPB1,0.0,False
678,HLA-DQA1,0.0,False
679,HLA-DQB1,0.0,False
680,HLA-DRA,0.0,False
681,HLA-DRB1,0.0,False
682,HLA-DRB5,0.0,False
683,HLA-E,0.0,False
684,HM13,0.0,False
685,HMGA1,0.0,False
686,HMGB1,0.0,False
687,HMGB2,0.0,False
688,HMGCS2,0.0,False
689,HMGN1,0.0,False
690,HMGN2,0.0,False
691,HNRNPA1,0.0,False
692,HNRNPA2B1,0.0,False
693,HNRNPA3,0.0,False
694,HNRNPC,0.0,False
695,HNRNPD,0.0,False
696,HNRNPDL,0.0,False
697,HNRNPF,0.0,False
698,HNRNPH1,0.0,False
699,HNRNPK,0.0,False
700,HNRNPM,0.0,False
701,HNRNPU,0.0,False
702,HNRNPUL1,0.0,False
703,HPGD,0.0,False
704,HPX,0.0,False
705,HSBP1,0.0,False
706,HSP90AA1,0.0,False
707,HSP90AB1,0.0,False
708,HSP90B1,0.0,False
709,HSPA1A,0.0,False
710,HSPA2,0.0,False
711,HSPA4,0.0,False
712,HSPA5,0.0,False
713,HSPA8,0.0,False
714,HSPA9,0.0,False
715,HSPB1,0.0,False
716,HSPB7,0.0,False
717,HSPB8,0.0,False
718,HSPD1,0.0,False
719,HSPG2,0.0,False
720,HSPH1,0.0,False
721,HTRA1,0.0,False
722,HTT,0.0,False
723,HUWE1,0.0,False
724,HYOU1,0.0,False
725,IARS2,0.0,False
726,IDH1,0.0,False
727,IDH2,0.0,False
728,IDO1,0.0,False
729,IFI16,0.0,False
730,IFI27,0.0,False
731,IFI44L,0.0,False
